model,layers,use
convnext,features.1.2.stochastic_depth,
convnext,features.2,
convnext,features.2.0,
convnext,features.2.1,
convnext,features.3,
convnext,features.3.0,
convnext,features.3.0.block,
convnext,features.3.0.block.0,
convnext,features.3.0.block.1,
convnext,features.3.0.block.2,
convnext,features.3.0.block.3,
convnext,features.3.0.block.4,
convnext,features.3.0.block.5,
convnext,features.3.0.block.6,1
convnext,features.3.0.stochastic_depth,
convnext,features.3.1,
convnext,features.3.1.block,
convnext,features.3.1.block.0,
convnext,features.3.1.block.1,
convnext,features.3.1.block.2,
convnext,features.3.1.block.3,
convnext,features.3.1.block.4,
convnext,features.3.1.block.5,
convnext,features.3.1.block.6,1
convnext,features.3.1.stochastic_depth,
convnext,features.3.2,
convnext,features.3.2.block,
convnext,features.3.2.block.0,
convnext,features.3.2.block.1,
convnext,features.3.2.block.2,
convnext,features.3.2.block.3,
convnext,features.3.2.block.4,
convnext,features.3.2.block.5,
convnext,features.3.2.block.6,1
convnext,features.3.2.stochastic_depth,
convnext,features.4,
convnext,features.4.0,
convnext,features.4.1,
convnext,features.5,
convnext,features.5.0,
convnext,features.5.0.block,
convnext,features.5.0.block.0,
convnext,features.5.0.block.1,
convnext,features.5.0.block.2,
convnext,features.5.0.block.3,
convnext,features.5.0.block.4,
convnext,features.5.0.block.5,
convnext,features.5.0.block.6,1
convnext,features.5.0.stochastic_depth,
convnext,features.5.1,
convnext,features.5.1.block,
convnext,features.5.1.block.0,
convnext,features.5.1.block.1,
convnext,features.5.1.block.2,
convnext,features.5.1.block.3,
convnext,features.5.1.block.4,
convnext,features.5.1.block.5,
convnext,features.5.1.block.6,1
convnext,features.5.1.stochastic_depth,
convnext,features.5.2,
convnext,features.5.2.block,
convnext,features.5.2.block.0,
convnext,features.5.2.block.1,
convnext,features.5.2.block.2,
convnext,features.5.2.block.3,
convnext,features.5.2.block.4,
convnext,features.5.2.block.5,
convnext,features.5.2.block.6,1
convnext,features.5.2.stochastic_depth,
convnext,features.5.3,
convnext,features.5.3.block,
convnext,features.5.3.block.0,
convnext,features.5.3.block.1,
convnext,features.5.3.block.2,
convnext,features.5.3.block.3,
convnext,features.5.3.block.4,
convnext,features.5.3.block.5,
convnext,features.5.3.block.6,1
convnext,features.5.3.stochastic_depth,
convnext,features.5.4,
convnext,features.5.4.block,
convnext,features.5.4.block.0,
convnext,features.5.4.block.1,
convnext,features.5.4.block.2,
convnext,features.5.4.block.3,
convnext,features.5.4.block.4,
convnext,features.5.4.block.5,
convnext,features.5.4.block.6,1
convnext,features.5.4.stochastic_depth,
convnext,features.5.5,
convnext,features.5.5.block,
convnext,features.5.5.block.0,
convnext,features.5.5.block.1,
convnext,features.5.5.block.2,
convnext,features.5.5.block.3,
convnext,features.5.5.block.4,
convnext,features.5.5.block.5,
convnext,features.5.5.block.6,1
convnext,features.5.5.stochastic_depth,
convnext,features.5.6,
convnext,features.5.6.block,
convnext,features.5.6.block.0,
convnext,features.5.6.block.1,
convnext,features.5.6.block.2,
convnext,features.5.6.block.3,
convnext,features.5.6.block.4,
convnext,features.5.6.block.5,
convnext,features.5.6.block.6,1
convnext,features.5.6.stochastic_depth,
convnext,features.5.7,
convnext,features.5.7.block,
convnext,features.5.7.block.0,
convnext,features.5.7.block.1,
convnext,features.5.7.block.2,
convnext,features.5.7.block.3,
convnext,features.5.7.block.4,
convnext,features.5.7.block.5,
convnext,features.5.7.block.6,1
convnext,features.5.7.stochastic_depth,
convnext,features.5.8,
convnext,features.5.8.block,
convnext,features.5.8.block.0,
convnext,features.5.8.block.1,
convnext,features.5.8.block.2,
convnext,features.5.8.block.3,
convnext,features.5.8.block.4,
convnext,features.5.8.block.5,
convnext,features.5.8.block.6,1
convnext,features.5.8.stochastic_depth,
convnext,features.5.9,
convnext,features.5.9.block,
convnext,features.5.9.block.0,
convnext,features.5.9.block.1,
convnext,features.5.9.block.2,
convnext,features.5.9.block.3,
convnext,features.5.9.block.4,
convnext,features.5.9.block.5,
convnext,features.5.9.block.6,1
convnext,features.5.9.stochastic_depth,
convnext,features.5.10,
convnext,features.5.10.block,
convnext,features.5.10.block.0,
convnext,features.5.10.block.1,
convnext,features.5.10.block.2,
convnext,features.5.10.block.3,
convnext,features.5.10.block.4,
convnext,features.5.10.block.5,
convnext,features.5.10.block.6,1
convnext,features.5.10.stochastic_depth,
convnext,features.5.11,
convnext,features.5.11.block,
convnext,features.5.11.block.0,
convnext,features.5.11.block.1,
convnext,features.5.11.block.2,
convnext,features.5.11.block.3,
convnext,features.5.11.block.4,
convnext,features.5.11.block.5,
convnext,features.5.11.block.6,1
convnext,features.5.11.stochastic_depth,
convnext,features.5.12,
convnext,features.5.12.block,
convnext,features.5.12.block.0,
convnext,features.5.12.block.1,
convnext,features.5.12.block.2,
convnext,features.5.12.block.3,
convnext,features.5.12.block.4,
convnext,features.5.12.block.5,
convnext,features.5.12.block.6,1
convnext,features.5.12.stochastic_depth,
convnext,features.5.13,
convnext,features.5.13.block,
convnext,features.5.13.block.0,
convnext,features.5.13.block.1,
convnext,features.5.13.block.2,
convnext,features.5.13.block.3,
convnext,features.5.13.block.4,
convnext,features.5.13.block.5,
convnext,features.5.13.block.6,1
convnext,features.5.13.stochastic_depth,
convnext,features.5.14,
convnext,features.5.14.block,
convnext,features.5.14.block.0,
convnext,features.5.14.block.1,
convnext,features.5.14.block.2,
convnext,features.5.14.block.3,
convnext,features.5.14.block.4,
convnext,features.5.14.block.5,
convnext,features.5.14.block.6,1
convnext,features.5.14.stochastic_depth,
convnext,features.5.15,
convnext,features.5.15.block,
convnext,features.5.15.block.0,
convnext,features.5.15.block.1,
convnext,features.5.15.block.2,
convnext,features.5.15.block.3,
convnext,features.5.15.block.4,
convnext,features.5.15.block.5,
convnext,features.5.15.block.6,1
convnext,features.5.15.stochastic_depth,
convnext,features.5.16,
convnext,features.5.16.block,
convnext,features.5.16.block.0,
convnext,features.5.16.block.1,
convnext,features.5.16.block.2,
convnext,features.5.16.block.3,
convnext,features.5.16.block.4,
convnext,features.5.16.block.5,
convnext,features.5.16.block.6,1
convnext,features.5.16.stochastic_depth,
convnext,features.5.17,
convnext,features.5.17.block,
convnext,features.5.17.block.0,
convnext,features.5.17.block.1,
convnext,features.5.17.block.2,
convnext,features.5.17.block.3,
convnext,features.5.17.block.4,
convnext,features.5.17.block.5,
convnext,features.5.17.block.6,1
convnext,features.5.17.stochastic_depth,
convnext,features.5.18,
convnext,features.5.18.block,
convnext,features.5.18.block.0,
convnext,features.5.18.block.1,
convnext,features.5.18.block.2,
convnext,features.5.18.block.3,
convnext,features.5.18.block.4,
convnext,features.5.18.block.5,
convnext,features.5.18.block.6,1
convnext,features.5.18.stochastic_depth,
convnext,features.5.19,
convnext,features.5.19.block,
convnext,features.5.19.block.0,
convnext,features.5.19.block.1,
convnext,features.5.19.block.2,
convnext,features.5.19.block.3,
convnext,features.5.19.block.4,
convnext,features.5.19.block.5,
convnext,features.5.19.block.6,1
convnext,features.5.19.stochastic_depth,
convnext,features.5.20,
convnext,features.5.20.block,
convnext,features.5.20.block.0,
convnext,features.5.20.block.1,
convnext,features.5.20.block.2,
convnext,features.5.20.block.3,
convnext,features.5.20.block.4,
convnext,features.5.20.block.5,
convnext,features.5.20.block.6,1
convnext,features.5.20.stochastic_depth,
convnext,features.5.21,
convnext,features.5.21.block,
convnext,features.5.21.block.0,
convnext,features.5.21.block.1,
convnext,features.5.21.block.2,
convnext,features.5.21.block.3,
convnext,features.5.21.block.4,
convnext,features.5.21.block.5,
convnext,features.5.21.block.6,1
convnext,features.5.21.stochastic_depth,
convnext,features.5.22,
convnext,features.5.22.block,
convnext,features.5.22.block.0,
convnext,features.5.22.block.1,
convnext,features.5.22.block.2,
convnext,features.5.22.block.3,
convnext,features.5.22.block.4,
convnext,features.5.22.block.5,
convnext,features.5.22.block.6,1
convnext,features.5.22.stochastic_depth,
convnext,features.5.23,
convnext,features.5.23.block,
convnext,features.5.23.block.0,
convnext,features.5.23.block.1,
convnext,features.5.23.block.2,
convnext,features.5.23.block.3,
convnext,features.5.23.block.4,
convnext,features.5.23.block.5,
convnext,features.5.23.block.6,1
convnext,features.5.23.stochastic_depth,
convnext,features.5.24,
convnext,features.5.24.block,
convnext,features.5.24.block.0,
convnext,features.5.24.block.1,
convnext,features.5.24.block.2,
convnext,features.5.24.block.3,
convnext,features.5.24.block.4,
convnext,features.5.24.block.5,
convnext,features.5.24.block.6,1
convnext,features.5.24.stochastic_depth,
convnext,features.5.25,
convnext,features.5.25.block,
convnext,features.5.25.block.0,
convnext,features.5.25.block.1,
convnext,features.5.25.block.2,
convnext,features.5.25.block.3,
convnext,features.5.25.block.4,
convnext,features.5.25.block.5,
convnext,features.5.25.block.6,1
convnext,features.5.25.stochastic_depth,
convnext,features.5.26,
convnext,features.5.26.block,
convnext,features.5.26.block.0,
convnext,features.5.26.block.1,
convnext,features.5.26.block.2,
convnext,features.5.26.block.3,
convnext,features.5.26.block.4,
convnext,features.5.26.block.5,
convnext,features.5.26.block.6,1
convnext,features.5.26.stochastic_depth,
convnext,features.6,
convnext,features.6.0,
convnext,features.6.1,
convnext,features.7,
convnext,features.7.0,
convnext,features.7.0.block,
convnext,features.7.0.block.0,
convnext,features.7.0.block.1,
convnext,features.7.0.block.2,
convnext,features.7.0.block.3,
convnext,features.7.0.block.4,
convnext,features.7.0.block.5,
convnext,features.7.0.block.6,1
convnext,features.7.0.stochastic_depth,
convnext,features.7.1,
convnext,features.7.1.block,
convnext,features.7.1.block.0,
convnext,features.7.1.block.1,
convnext,features.7.1.block.2,
convnext,features.7.1.block.3,
convnext,features.7.1.block.4,
convnext,features.7.1.block.5,
convnext,features.7.1.block.6,1
convnext,features.7.1.stochastic_depth,
convnext,features.7.2,
convnext,features.7.2.block,
convnext,features.7.2.block.0,
convnext,features.7.2.block.1,
convnext,features.7.2.block.2,
convnext,features.7.2.block.3,
convnext,features.7.2.block.4,
convnext,features.7.2.block.5,
convnext,features.7.2.block.6,1
convnext,features.7.2.stochastic_depth,
convnext,avgpool,1
convnext,classifier,
convnext,classifier.0,
convnext,classifier.1,
convnext,classifier.2,
vit,,
vit,patch_embed,
vit,patch_embed.proj,
vit,patch_embed.norm,
vit,pos_drop,
vit,patch_drop,
vit,norm_pre,
vit,blocks,
vit,blocks.0,
vit,blocks.0.norm1,
vit,blocks.0.attn,
vit,blocks.0.attn.qkv,
vit,blocks.0.attn.q_norm,
vit,blocks.0.attn.k_norm,
vit,blocks.0.attn.attn_drop,
vit,blocks.0.attn.proj,
vit,blocks.0.attn.proj_drop,
vit,blocks.0.ls1,1
vit,blocks.0.drop_path1,
vit,blocks.0.norm2,
vit,blocks.0.mlp,
vit,blocks.0.mlp.fc1,
vit,blocks.0.mlp.act,
vit,blocks.0.mlp.drop1,
vit,blocks.0.mlp.norm,
vit,blocks.0.mlp.fc2,
vit,blocks.0.mlp.drop2,
vit,blocks.0.ls2,1
vit,blocks.0.drop_path2,
vit,blocks.1,
vit,blocks.1.norm1,
vit,blocks.1.attn,
vit,blocks.1.attn.qkv,
vit,blocks.1.attn.q_norm,
vit,blocks.1.attn.k_norm,
vit,blocks.1.attn.attn_drop,
vit,blocks.1.attn.proj,
vit,blocks.1.attn.proj_drop,
vit,blocks.1.ls1,
vit,blocks.1.drop_path1,
vit,blocks.1.norm2,
vit,blocks.1.mlp,
vit,blocks.1.mlp.fc1,
vit,blocks.1.mlp.act,
vit,blocks.1.mlp.drop1,
vit,blocks.1.mlp.norm,
vit,blocks.1.mlp.fc2,
vit,blocks.1.mlp.drop2,
vit,blocks.1.ls2,1
vit,blocks.1.drop_path2,
vit,blocks.2,
vit,blocks.2.norm1,
vit,blocks.2.attn,
vit,blocks.2.attn.qkv,
vit,blocks.2.attn.q_norm,
vit,blocks.2.attn.k_norm,
vit,blocks.2.attn.attn_drop,
vit,blocks.2.attn.proj,
vit,blocks.2.attn.proj_drop,
vit,blocks.2.ls1,
vit,blocks.2.drop_path1,
vit,blocks.2.norm2,
vit,blocks.2.mlp,
vit,blocks.2.mlp.fc1,
vit,blocks.2.mlp.act,
vit,blocks.2.mlp.drop1,
vit,blocks.2.mlp.norm,
vit,blocks.2.mlp.fc2,
vit,blocks.2.mlp.drop2,
vit,blocks.2.ls2,1
vit,blocks.2.drop_path2,
vit,blocks.3,
vit,blocks.3.norm1,
vit,blocks.3.attn,
vit,blocks.3.attn.qkv,
vit,blocks.3.attn.q_norm,
vit,blocks.3.attn.k_norm,
vit,blocks.3.attn.attn_drop,
vit,blocks.3.attn.proj,
vit,blocks.3.attn.proj_drop,
vit,blocks.3.ls1,
vit,blocks.3.drop_path1,
vit,blocks.3.norm2,
vit,blocks.3.mlp,
vit,blocks.3.mlp.fc1,
vit,blocks.3.mlp.act,
vit,blocks.3.mlp.drop1,
vit,blocks.3.mlp.norm,
vit,blocks.3.mlp.fc2,
vit,blocks.3.mlp.drop2,
vit,blocks.3.ls2,1
vit,blocks.3.drop_path2,
vit,blocks.4,
vit,blocks.4.norm1,
vit,blocks.4.attn,
vit,blocks.4.attn.qkv,
vit,blocks.4.attn.q_norm,
vit,blocks.4.attn.k_norm,
vit,blocks.4.attn.attn_drop,
vit,blocks.4.attn.proj,
vit,blocks.4.attn.proj_drop,
vit,blocks.4.ls1,
vit,blocks.4.drop_path1,
vit,blocks.4.norm2,
vit,blocks.4.mlp,
vit,blocks.4.mlp.fc1,
vit,blocks.4.mlp.act,
vit,blocks.4.mlp.drop1,
vit,blocks.4.mlp.norm,
vit,blocks.4.mlp.fc2,
vit,blocks.4.mlp.drop2,
vit,blocks.4.ls2,1
vit,blocks.4.drop_path2,
vit,blocks.5,
vit,blocks.5.norm1,
vit,blocks.5.attn,
vit,blocks.5.attn.qkv,
vit,blocks.5.attn.q_norm,
vit,blocks.5.attn.k_norm,
vit,blocks.5.attn.attn_drop,
vit,blocks.5.attn.proj,
vit,blocks.5.attn.proj_drop,
vit,blocks.5.ls1,
vit,blocks.5.drop_path1,
vit,blocks.5.norm2,
vit,blocks.5.mlp,
vit,blocks.5.mlp.fc1,
vit,blocks.5.mlp.act,
vit,blocks.5.mlp.drop1,
vit,blocks.5.mlp.norm,
vit,blocks.5.mlp.fc2,
vit,blocks.5.mlp.drop2,
vit,blocks.5.ls2,1
vit,blocks.5.drop_path2,
vit,blocks.6,
vit,blocks.6.norm1,
vit,blocks.6.attn,
vit,blocks.6.attn.qkv,
vit,blocks.6.attn.q_norm,
vit,blocks.6.attn.k_norm,
vit,blocks.6.attn.attn_drop,
vit,blocks.6.attn.proj,
vit,blocks.6.attn.proj_drop,
vit,blocks.6.ls1,
vit,blocks.6.drop_path1,
vit,blocks.6.norm2,
vit,blocks.6.mlp,
vit,blocks.6.mlp.fc1,
vit,blocks.6.mlp.act,
vit,blocks.6.mlp.drop1,
vit,blocks.6.mlp.norm,
vit,blocks.6.mlp.fc2,
vit,blocks.6.mlp.drop2,
vit,blocks.6.ls2,1
vit,blocks.6.drop_path2,
vit,blocks.7,
vit,blocks.7.norm1,
vit,blocks.7.attn,
vit,blocks.7.attn.qkv,
vit,blocks.7.attn.q_norm,
vit,blocks.7.attn.k_norm,
vit,blocks.7.attn.attn_drop,
vit,blocks.7.attn.proj,
vit,blocks.7.attn.proj_drop,
vit,blocks.7.ls1,
vit,blocks.7.drop_path1,
vit,blocks.7.norm2,
vit,blocks.7.mlp,
vit,blocks.7.mlp.fc1,
vit,blocks.7.mlp.act,
vit,blocks.7.mlp.drop1,
vit,blocks.7.mlp.norm,
vit,blocks.7.mlp.fc2,
vit,blocks.7.mlp.drop2,
vit,blocks.7.ls2,1
vit,blocks.7.drop_path2,
vit,blocks.8,
vit,blocks.8.norm1,
vit,blocks.8.attn,
vit,blocks.8.attn.qkv,
vit,blocks.8.attn.q_norm,
vit,blocks.8.attn.k_norm,
vit,blocks.8.attn.attn_drop,
vit,blocks.8.attn.proj,
vit,blocks.8.attn.proj_drop,
vit,blocks.8.ls1,
vit,blocks.8.drop_path1,
vit,blocks.8.norm2,
vit,blocks.8.mlp,
vit,blocks.8.mlp.fc1,
vit,blocks.8.mlp.act,
vit,blocks.8.mlp.drop1,
vit,blocks.8.mlp.norm,
vit,blocks.8.mlp.fc2,
vit,blocks.8.mlp.drop2,
vit,blocks.8.ls2,1
vit,blocks.8.drop_path2,
vit,blocks.9,
vit,blocks.9.norm1,
vit,blocks.9.attn,
vit,blocks.9.attn.qkv,
vit,blocks.9.attn.q_norm,
vit,blocks.9.attn.k_norm,
vit,blocks.9.attn.attn_drop,
vit,blocks.9.attn.proj,
vit,blocks.9.attn.proj_drop,
vit,blocks.9.ls1,
vit,blocks.9.drop_path1,
vit,blocks.9.norm2,
vit,blocks.9.mlp,
vit,blocks.9.mlp.fc1,
vit,blocks.9.mlp.act,
vit,blocks.9.mlp.drop1,
vit,blocks.9.mlp.norm,
vit,blocks.9.mlp.fc2,
vit,blocks.9.mlp.drop2,
vit,blocks.9.ls2,1
vit,blocks.9.drop_path2,
vit,blocks.10,
vit,blocks.10.norm1,
vit,blocks.10.attn,
vit,blocks.10.attn.qkv,
vit,blocks.10.attn.q_norm,
vit,blocks.10.attn.k_norm,
vit,blocks.10.attn.attn_drop,
vit,blocks.10.attn.proj,
vit,blocks.10.attn.proj_drop,
vit,blocks.10.ls1,
vit,blocks.10.drop_path1,
vit,blocks.10.norm2,
vit,blocks.10.mlp,
vit,blocks.10.mlp.fc1,
vit,blocks.10.mlp.act,
vit,blocks.10.mlp.drop1,
vit,blocks.10.mlp.norm,
vit,blocks.10.mlp.fc2,
vit,blocks.10.mlp.drop2,
vit,blocks.10.ls2,1
vit,blocks.10.drop_path2,
vit,blocks.11,
vit,blocks.11.norm1,
vit,blocks.11.attn,
vit,blocks.11.attn.qkv,
vit,blocks.11.attn.q_norm,
vit,blocks.11.attn.k_norm,
vit,blocks.11.attn.attn_drop,
vit,blocks.11.attn.proj,
vit,blocks.11.attn.proj_drop,
vit,blocks.11.ls1,
vit,blocks.11.drop_path1,
vit,blocks.11.norm2,
vit,blocks.11.mlp,
vit,blocks.11.mlp.fc1,
vit,blocks.11.mlp.act,
vit,blocks.11.mlp.drop1,
vit,blocks.11.mlp.norm,
vit,blocks.11.mlp.fc2,
vit,blocks.11.mlp.drop2,
vit,blocks.11.ls2,1
vit,blocks.11.drop_path2,
vit,norm,
vit,fc_norm,
vit,head_drop,
vit,head,
clip_vit,,
clip_vit,visual,
clip_vit,visual.conv1,
clip_vit,visual.ln_pre,
clip_vit,visual.transformer,
clip_vit,visual.transformer.resblocks,
clip_vit,visual.transformer.resblocks.0,
clip_vit,visual.transformer.resblocks.0.attn,
clip_vit,visual.transformer.resblocks.0.attn.out_proj,
clip_vit,visual.transformer.resblocks.0.ln_1,
clip_vit,visual.transformer.resblocks.0.mlp,
clip_vit,visual.transformer.resblocks.0.mlp.c_fc,
clip_vit,visual.transformer.resblocks.0.mlp.gelu,
clip_vit,visual.transformer.resblocks.0.mlp.c_proj,
clip_vit,visual.transformer.resblocks.0.ln_2,1
clip_vit,visual.transformer.resblocks.1,
clip_vit,visual.transformer.resblocks.1.attn,
clip_vit,visual.transformer.resblocks.1.attn.out_proj,
clip_vit,visual.transformer.resblocks.1.ln_1,
clip_vit,visual.transformer.resblocks.1.mlp,
clip_vit,visual.transformer.resblocks.1.mlp.c_fc,
clip_vit,visual.transformer.resblocks.1.mlp.gelu,
clip_vit,visual.transformer.resblocks.1.mlp.c_proj,
clip_vit,visual.transformer.resblocks.1.ln_2,1
clip_vit,visual.transformer.resblocks.2,
clip_vit,visual.transformer.resblocks.2.attn,
clip_vit,visual.transformer.resblocks.2.attn.out_proj,
clip_vit,visual.transformer.resblocks.2.ln_1,
clip_vit,visual.transformer.resblocks.2.mlp,
clip_vit,visual.transformer.resblocks.2.mlp.c_fc,
clip_vit,visual.transformer.resblocks.2.mlp.gelu,
clip_vit,visual.transformer.resblocks.2.mlp.c_proj,
clip_vit,visual.transformer.resblocks.2.ln_2,1
clip_vit,visual.transformer.resblocks.3,
clip_vit,visual.transformer.resblocks.3.attn,
clip_vit,visual.transformer.resblocks.3.attn.out_proj,
clip_vit,visual.transformer.resblocks.3.ln_1,
clip_vit,visual.transformer.resblocks.3.mlp,
clip_vit,visual.transformer.resblocks.3.mlp.c_fc,
clip_vit,visual.transformer.resblocks.3.mlp.gelu,
clip_vit,visual.transformer.resblocks.3.mlp.c_proj,
clip_vit,visual.transformer.resblocks.3.ln_2,1
clip_vit,visual.transformer.resblocks.4,
clip_vit,visual.transformer.resblocks.4.attn,
clip_vit,visual.transformer.resblocks.4.attn.out_proj,
clip_vit,visual.transformer.resblocks.4.ln_1,
clip_vit,visual.transformer.resblocks.4.mlp,
clip_vit,visual.transformer.resblocks.4.mlp.c_fc,
clip_vit,visual.transformer.resblocks.4.mlp.gelu,
clip_vit,visual.transformer.resblocks.4.mlp.c_proj,
clip_vit,visual.transformer.resblocks.4.ln_2,1
clip_vit,visual.transformer.resblocks.5,
clip_vit,visual.transformer.resblocks.5.attn,
clip_vit,visual.transformer.resblocks.5.attn.out_proj,
clip_vit,visual.transformer.resblocks.5.ln_1,
clip_vit,visual.transformer.resblocks.5.mlp,
clip_vit,visual.transformer.resblocks.5.mlp.c_fc,
clip_vit,visual.transformer.resblocks.5.mlp.gelu,
clip_vit,visual.transformer.resblocks.5.mlp.c_proj,
clip_vit,visual.transformer.resblocks.5.ln_2,1
clip_vit,visual.transformer.resblocks.6,
clip_vit,visual.transformer.resblocks.6.attn,
clip_vit,visual.transformer.resblocks.6.attn.out_proj,
clip_vit,visual.transformer.resblocks.6.ln_1,
clip_vit,visual.transformer.resblocks.6.mlp,
clip_vit,visual.transformer.resblocks.6.mlp.c_fc,
clip_vit,visual.transformer.resblocks.6.mlp.gelu,
clip_vit,visual.transformer.resblocks.6.mlp.c_proj,
clip_vit,visual.transformer.resblocks.6.ln_2,1
clip_vit,visual.transformer.resblocks.7,
clip_vit,visual.transformer.resblocks.7.attn,
clip_vit,visual.transformer.resblocks.7.attn.out_proj,
clip_vit,visual.transformer.resblocks.7.ln_1,
clip_vit,visual.transformer.resblocks.7.mlp,
clip_vit,visual.transformer.resblocks.7.mlp.c_fc,
clip_vit,visual.transformer.resblocks.7.mlp.gelu,
clip_vit,visual.transformer.resblocks.7.mlp.c_proj,
clip_vit,visual.transformer.resblocks.7.ln_2,1
clip_vit,visual.transformer.resblocks.8,
clip_vit,visual.transformer.resblocks.8.attn,
clip_vit,visual.transformer.resblocks.8.attn.out_proj,
clip_vit,visual.transformer.resblocks.8.ln_1,
clip_vit,visual.transformer.resblocks.8.mlp,
clip_vit,visual.transformer.resblocks.8.mlp.c_fc,
clip_vit,visual.transformer.resblocks.8.mlp.gelu,
clip_vit,visual.transformer.resblocks.8.mlp.c_proj,
clip_vit,visual.transformer.resblocks.8.ln_2,1
clip_vit,visual.transformer.resblocks.9,
clip_vit,visual.transformer.resblocks.9.attn,
