label,number,class_label1,class_label2,class_label3,class_label4,class_label5,class_label6,class_label7,class_label8
n01440764,449, tench, Tinca tinca,,,,,,
n01443537,450, goldfish, Carassius auratus,,,,,,
n01484850,442, great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias,,,
n01491361,443, tiger shark, Galeocerdo cuvieri,,,,,,
n01494475,444, hammerhead, hammerhead shark,,,,,,
n01496331,445, electric ray, crampfish, numbfish, torpedo,,,,
n01498041,446, stingray,,,,,,,
n01514668,383, cock,,,,,,,
n01514859,384, hen,,,,,,,
n01518878,385, ostrich, Struthio camelus,,,,,,
n01530575,386, brambling, Fringilla montifringilla,,,,,,
n01531178,387, goldfinch, Carduelis carduelis,,,,,,
n01532829,388, house finch, linnet, Carpodacus mexicanus,,,,,
n01534433,389, junco, snowbird,,,,,,
n01537544,390, indigo bunting, indigo finch, indigo bird, Passerina cyanea,,,,
n01558993,391, robin, American robin, Turdus migratorius,,,,,
n01560419,392, bulbul,,,,,,,
n01580077,393, jay,,,,,,,
n01582220,394, magpie,,,,,,,
n01592084,395, chickadee,,,,,,,
n01601694,396, water ouzel, dipper,,,,,,
n01608432,397, kite,,,,,,,
n01614925,398, bald eagle, American eagle, Haliaeetus leucocephalus,,,,,
n01616318,399, vulture,,,,,,,
n01622779,400, great grey owl, great gray owl, Strix nebulosa,,,,,
n01629819,494, European fire salamander, Salamandra salamandra,,,,,,
n01630670,495, common newt, Triturus vulgaris,,,,,,
n01631663,496, eft,,,,,,,
n01632458,497, spotted salamander, Ambystoma maculatum,,,,,,
n01632777,498, axolotl, mud puppy, Ambystoma mexicanum,,,,,
n01641577,499, bullfrog, Rana catesbeiana,,,,,,
n01644373,500, tree frog, tree-frog,,,,,,
n01644900,501, tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui,,,
n01664065,458, loggerhead, loggerhead turtle, Caretta caretta,,,,,
n01665541,459, leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea,,,,
n01667114,460, mud turtle,,,,,,,
n01667778,461, terrapin,,,,,,,
n01669191,462, box turtle, box tortoise,,,,,,
n01675722,463, banded gecko,,,,,,,
n01677366,464, common iguana, iguana, Iguana iguana,,,,,
n01682714,465, American chameleon, anole, Anolis carolinensis,,,,,
n01685808,466, whiptail, whiptail lizard,,,,,,
n01687978,467, agama,,,,,,,
n01688243,468, frilled lizard, Chlamydosaurus kingi,,,,,,
n01689811,469, alligator lizard,,,,,,,
n01692333,470, Gila monster, Heloderma suspectum,,,,,,
n01693334,471, green lizard, Lacerta viridis,,,,,,
n01694178,472, African chameleon, Chamaeleo chamaeleon,,,,,,
n01695060,473, Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis,,,
n01697457,475, African crocodile, Nile crocodile, Crocodylus niloticus,,,,,
n01698640,476, American alligator, Alligator mississipiensis,,,,,,
n01704323,474, triceratops,,,,,,,
n01728572,477, thunder snake, worm snake, Carphophis amoenus,,,,,
n01728920,478, ringneck snake, ring-necked snake, ring snake,,,,,
n01729322,479, hognose snake, puff adder, sand viper,,,,,
n01729977,480, green snake, grass snake,,,,,,
n01734418,481, king snake, kingsnake,,,,,,
n01735189,482, garter snake, grass snake,,,,,,
n01737021,483, water snake,,,,,,,
n01739381,484, vine snake,,,,,,,
n01740131,485, night snake, Hypsiglena torquata,,,,,,
n01742172,486, boa constrictor, Constrictor constrictor,,,,,,
n01744401,487, rock python, rock snake, Python sebae,,,,,
n01748264,488, Indian cobra, Naja naja,,,,,,
n01749939,489, green mamba,,,,,,,
n01751748,490, sea snake,,,,,,,
n01753488,491, horned viper, cerastes, sand viper, horned asp, Cerastes cornutus,,,
n01755581,492, diamondback, diamondback rattlesnake, Crotalus adamanteus,,,,,
n01756291,493, sidewinder, horned rattlesnake, Crotalus cerastes,,,,,
n01768244,601, trilobite,,,,,,,
n01770081,602, harvestman, daddy longlegs, Phalangium opilio,,,,,
n01770393,603, scorpion,,,,,,,
n01773157,604, black and gold garden spider, Argiope aurantia,,,,,,
n01773549,605, barn spider, Araneus cavaticus,,,,,,
n01773797,606, garden spider, Aranea diademata,,,,,,
n01774384,607, black widow, Latrodectus mactans,,,,,,
n01774750,608, tarantula,,,,,,,
n01775062,609, wolf spider, hunting spider,,,,,,
n01776313,610, tick,,,,,,,
n01784675,611, centipede,,,,,,,
n01795545,401, black grouse,,,,,,,
n01796340,402, ptarmigan,,,,,,,
n01797886,403, ruffed grouse, partridge, Bonasa umbellus,,,,,
n01798484,404, prairie chicken, prairie grouse, prairie fowl,,,,,
n01806143,405, peacock,,,,,,,
n01806567,406, quail,,,,,,,
n01807496,407, partridge,,,,,,,
n01817953,408, African grey, African gray, Psittacus erithacus,,,,,
n01818515,409, macaw,,,,,,,
n01819313,410, sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita,,,,,
n01820546,411, lorikeet,,,,,,,
n01824575,412, coucal,,,,,,,
n01828970,413, bee eater,,,,,,,
n01829413,414, hornbill,,,,,,,
n01833805,415, hummingbird,,,,,,,
n01843065,416, jacamar,,,,,,,
n01843383,417, toucan,,,,,,,
n01847000,418, drake,,,,,,,
n01855032,419, red-breasted merganser, Mergus serrator,,,,,,
n01855672,420, goose,,,,,,,
n01860187,421, black swan, Cygnus atratus,,,,,,
n01871265,214, tusker,,,,,,,
n01872401,215, echidna, spiny anteater, anteater,,,,,
n01873310,217, platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus,,,
n01877812,216, wallaby, brush kangaroo,,,,,,
n01882714,213, koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus,,,
n01883070,218, wombat,,,,,,,
n01910747,647, jellyfish,,,,,,,
n01914609,648, sea anemone, anemone,,,,,,
n01917289,649, brain coral,,,,,,,
n01924916,650, flatworm, platyhelminth,,,,,,
n01930112,651, nematode, nematode worm, roundworm,,,,,
n01943899,652, conch,,,,,,,
n01944390,653, snail,,,,,,,
n01945685,654, slug,,,,,,,
n01950731,655, sea slug, nudibranch,,,,,,
n01955084,656, chiton, coat-of-mail shell, sea cradle, polyplacophore,,,,
n01968897,226, chambered nautilus, pearly nautilus, nautilus,,,,,
n01978287,613, Dungeness crab, Cancer magister,,,,,,
n01978455,614, rock crab, Cancer irroratus,,,,,,
n01980166,615, fiddler crab,,,,,,,
n01981276,616, king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica,,,
n01983481,617, American lobster, Northern lobster, Maine lobster, Homarus americanus,,,,
n01984695,618, spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish,,
n01985128,619, crayfish, crawfish, crawdad, crawdaddy,,,,
n01986214,620, hermit crab,,,,,,,
n01990800,612, isopod,,,,,,,
n02002556,422, white stork, Ciconia ciconia,,,,,,
n02002724,423, black stork, Ciconia nigra,,,,,,
n02006656,424, spoonbill,,,,,,,
n02007558,425, flamingo,,,,,,,
n02009229,427, little blue heron, Egretta caerulea,,,,,,
n02009912,426, American egret, great white heron, Egretta albus,,,,,
n02011460,428, bittern,,,,,,,
n02012849,429, crane,,,,,,,
n02013706,430, limpkin, Aramus pictus,,,,,,
n02017213,438, European gallinule, Porphyrio porphyrio,,,,,,
n02018207,431, American coot, marsh hen, mud hen, water hen, Fulica americana,,,
n02018795,432, bustard,,,,,,,
n02025239,433, ruddy turnstone, Arenaria interpres,,,,,,
n02027492,434, red-backed sandpiper, dunlin, Erolia alpina,,,,,
n02028035,435, redshank, Tringa totanus,,,,,,
n02033041,436, dowitcher,,,,,,,
n02037110,437, oystercatcher, oyster catcher,,,,,,
n02051845,439, pelican,,,,,,,
n02056570,440, king penguin, Aptenodytes patagonica,,,,,,
n02058221,441, albatross, mollymawk,,,,,,
n02066245,6, grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus,,,
n02071294,22, killer whale, killer, orca, grampus, sea wolf, Orcinus orca,,
n02074367,193, dugong, Dugong dugon,,,,,,
n02077923,14, sea lion,,,,,,,
n02085620,173, Chihuahua,,,,,,,
n02085782,99, Japanese spaniel,,,,,,,
n02085936,87, Maltese dog, Maltese terrier, Maltese,,,,,
n02086079,69, Pekinese, Pekingese, Peke,,,,,
n02086240,116, Shih-Tzu,,,,,,,
n02086646,198, Blenheim spaniel,,,,,,,
n02086910,43, papillon,,,,,,,
n02087046,89, toy terrier,,,,,,,
n02087394,200, Rhodesian ridgeback,,,,,,,
n02088094,98, Afghan hound, Afghan,,,,,,
n02088238,161, basset, basset hound,,,,,,
n02088364,132, beagle,,,,,,,
n02088466,32, bloodhound, sleuthhound,,,,,,
n02088632,180, bluetick,,,,,,,
n02089078,42, black-and-tan coonhound,,,,,,,
n02089867,18, Walker hound, Walker foxhound,,,,,,
n02089973,207, English foxhound,,,,,,,
n02090379,181, redbone,,,,,,,
n02090622,105, borzoi, Russian wolfhound,,,,,,
n02090721,77, Irish wolfhound,,,,,,,
n02091032,189, Italian greyhound,,,,,,,
n02091134,20, whippet,,,,,,,
n02091244,204, Ibizan hound, Ibizan Podenco,,,,,,
n02091467,63, Norwegian elkhound, elkhound,,,,,,
n02091635,31, otterhound, otter hound,,,,,,
n02091831,66, Saluki, gazelle hound,,,,,,
n02092002,21, Scottish deerhound, deerhound,,,,,,
n02092339,25, Weimaraner,,,,,,,
n02093256,45, Staffordshire bullterrier, Staffordshire bull terrier,,,,,,
n02093428,170, American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier,,,,
n02093647,119, Bedlington terrier,,,,,,,
n02093754,210, Border terrier,,,,,,,
n02093859,107, Kerry blue terrier,,,,,,,
n02093991,126, Irish terrier,,,,,,,
n02094114,88, Norfolk terrier,,,,,,,
n02094258,145, Norwich terrier,,,,,,,
n02094433,59, Yorkshire terrier,,,,,,,
n02095314,160, wire-haired fox terrier,,,,,,,
n02095570,152, Lakeland terrier,,,,,,,
n02095889,72, Sealyham terrier, Sealyham,,,,,,
n02096051,33, Airedale, Airedale terrier,,,,,,
n02096177,91, cairn, cairn terrier,,,,,,
n02096294,4, Australian terrier,,,,,,,
n02096437,27, Dandie Dinmont, Dandie Dinmont terrier,,,,,,
n02096585,113, Boston bull, Boston terrier,,,,,,
n02097047,123, miniature schnauzer,,,,,,,
n02097130,36, giant schnauzer,,,,,,,
n02097209,156, standard schnauzer,,,,,,,
n02097298,109, Scotch terrier, Scottish terrier, Scottie,,,,,
n02097474,158, Tibetan terrier, chrysanthemum dog,,,,,,
n02097658,131, silky terrier, Sydney silky,,,,,,
n02098105,26, soft-coated wheaten terrier,,,,,,,
n02098286,71, West Highland white terrier,,,,,,,
n02098413,56, Lhasa, Lhasa apso,,,,,,
n02099267,146, flat-coated retriever,,,,,,,
n02099429,144, curly-coated retriever,,,,,,,
n02099601,125, golden retriever,,,,,,,
n02099712,176, Labrador retriever,,,,,,,
n02099849,139, Chesapeake Bay retriever,,,,,,,
n02100236,134, German short-haired pointer,,,,,,,
n02100583,90, vizsla, Hungarian pointer,,,,,,
n02100735,2, English setter,,,,,,,
n02100877,192, Irish setter, red setter,,,,,,
n02101006,154, Gordon setter,,,,,,,
n02101388,150, Brittany spaniel,,,,,,,
n02101556,94, clumber, clumber spaniel,,,,,,
n02102040,5, English springer, English springer spaniel,,,,,,
n02102177,19, Welsh springer spaniel,,,,,,,
n02102318,191, cocker spaniel, English cocker spaniel, cocker,,,,,
n02102480,196, Sussex spaniel,,,,,,,
n02102973,117, Irish water spaniel,,,,,,,
n02104029,141, kuvasz,,,,,,,
n02104365,68, schipperke,,,,,,,
n02105056,93, groenendael,,,,,,,
n02105162,51, malinois,,,,,,,
n02105251,208, briard,,,,,,,
n02105412,184, kelpie,,,,,,,
n02105505,97, komondor,,,,,,,
n02105641,29, Old English sheepdog, bobtail,,,,,,
n02105855,171, Shetland sheepdog, Shetland sheep dog, Shetland,,,,,
n02106030,124, collie,,,,,,,
n02106166,128, Border collie,,,,,,,
n02106382,47, Bouvier des Flandres, Bouviers des Flandres,,,,,,
n02106550,64, Rottweiler,,,,,,,
n02106662,211, German shepherd, German shepherd dog, German police dog, alsatian,,,,
n02107142,112, Doberman, Doberman pinscher,,,,,,
n02107312,187, miniature pinscher,,,,,,,
n02107574,114, Greater Swiss Mountain dog,,,,,,,
n02107683,86, Bernese mountain dog,,,,,,,
n02107908,115, Appenzeller,,,,,,,
n02108000,79, EntleBucher,,,,,,,
n02108089,130, boxer,,,,,,,
n02108422,140, bull mastiff,,,,,,,
n02108551,110, Tibetan mastiff,,,,,,,
n02108915,82, French bulldog,,,,,,,
n02109047,17, Great Dane,,,,,,,
n02109525,177, Saint Bernard, St Bernard,,,,,,
n02109961,149, Eskimo dog, husky,,,,,,
n02110063,15, malamute, malemute, Alaskan malamute,,,,,
n02110185,3, Siberian husky,,,,,,,
n02110341,41, dalmatian, coach dog, carriage dog,,,,,
n02110627,127, affenpinscher, monkey pinscher, monkey dog,,,,,
n02110806,84, basenji,,,,,,,
n02110958,143, pug, pug-dog,,,,,,
n02111129,133, Leonberg,,,,,,,
n02111277,60, Newfoundland, Newfoundland dog,,,,,,
n02111500,172, Great Pyrenees,,,,,,,
n02111889,179, Samoyed, Samoyede,,,,,,
n02112018,118, Pomeranian,,,,,,,
n02112137,168, chow, chow chow,,,,,,
n02112350,148, keeshond,,,,,,,
n02112706,70, Brabancon griffon,,,,,,,
n02113023,197, Pembroke, Pembroke Welsh corgi,,,,,,
n02113186,50, Cardigan, Cardigan Welsh corgi,,,,,,
n02113624,106, toy poodle,,,,,,,
n02113712,49, miniature poodle,,,,,,,
n02113799,151, standard poodle,,,,,,,
n02113978,46, Mexican hairless,,,,,,,
n02114367,205, timber wolf, grey wolf, gray wolf, Canis lupus,,,,
n02114548,102, white wolf, Arctic wolf, Canis lupus tundrarum,,,,,
n02114712,28, red wolf, maned wolf, Canis rufus, Canis niger,,,,
n02114855,58, coyote, prairie wolf, brush wolf, Canis latrans,,,,
n02115641,155, dingo, warrigal, warragal, Canis dingo,,,,
n02115913,136, dhole, Cuon alpinus,,,,,,
n02116738,202, African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus,,,,
n02117135,34, hyena, hyaena,,,,,,
n02119022,62, red fox, Vulpes vulpes,,,,,,
n02119789,1, kit fox, Vulpes macrotis,,,,,,
n02120079,159, Arctic fox, white fox, Alopex lagopus,,,,,
n02120505,67, grey fox, gray fox, Urocyon cinereoargenteus,,,,,
n02123045,174, tabby, tabby cat,,,,,,
n02123159,55, tiger cat,,,,,,,
n02123394,10, Persian cat,,,,,,,
n02123597,95, Siamese cat, Siamese,,,,,,
n02124075,8, Egyptian cat,,,,,,,
n02125311,11, cougar, puma, catamount, mountain lion, painter, panther, Felis concolor,
n02127052,201, lynx, catamount,,,,,,
n02128385,85, leopard, Panthera pardus,,,,,,
n02128757,153, snow leopard, ounce, Panthera uncia,,,,,
n02128925,30, jaguar, panther, Panthera onca, Felis onca,,,,
n02129165,190, lion, king of beasts, Panthera leo,,,,,
n02129604,76, tiger, Panthera tigris,,,,,,
n02130308,206, cheetah, chetah, Acinonyx jubatus,,,,,
n02132136,61, brown bear, bruin, Ursus arctos,,,,,
n02133161,163, American black bear, black bear, Ursus americanus, Euarctos americanus,,,,
n02134084,103, ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus,,,,
n02134418,209, sloth bear, Melursus ursinus, Ursus ursinus,,,,,
n02137549,74, mongoose,,,,,,,
n02138441,35, meerkat, mierkat,,,,,,
n02165105,621, tiger beetle,,,,,,,
n02165456,622, ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle,,,
n02167151,623, ground beetle, carabid beetle,,,,,,
n02168699,624, long-horned beetle, longicorn, longicorn beetle,,,,,
n02169497,625, leaf beetle, chrysomelid,,,,,,
n02172182,626, dung beetle,,,,,,,
n02174001,627, rhinoceros beetle,,,,,,,
n02177972,628, weevil,,,,,,,
n02190166,629, fly,,,,,,,
n02206856,630, bee,,,,,,,
n02219486,224, ant, emmet, pismire,,,,,
n02226429,631, grasshopper, hopper,,,,,,
n02229544,632, cricket,,,,,,,
n02231487,633, walking stick, walkingstick, stick insect,,,,,
n02233338,634, cockroach, roach,,,,,,
n02236044,635, mantis, mantid,,,,,,
n02256656,636, cicada, cicala,,,,,,
n02259212,637, leafhopper,,,,,,,
n02264363,638, lacewing, lacewing fly,,,,,,
n02268443,639, dragonfly, darning needle, devils darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
n02268853,640, damselfly,,,,,,,
n02276258,641, admiral,,,,,,,
n02277742,642, ringlet, ringlet butterfly,,,,,,
n02279972,643, monarch, monarch butterfly, milkweed butterfly, Danaus plexippus,,,,
n02280649,644, cabbage butterfly,,,,,,,
n02281406,645, sulphur butterfly, sulfur butterfly,,,,,,
n02281787,646, lycaenid, lycaenid butterfly,,,,,,
n02317335,225, starfish, sea star,,,,,,
n02319095,657, sea urchin,,,,,,,
n02321529,658, sea cucumber, holothurian,,,,,,
n02325366,188, wood rabbit, cottontail, cottontail rabbit,,,,,
n02326432,129, hare,,,,,,,
n02328150,164, Angora, Angora rabbit,,,,,,
n02342885,157, hamster,,,,,,,
n02346627,13, porcupine, hedgehog,,,,,,
n02356798,53, fox squirrel, eastern fox squirrel, Sciurus niger,,,,,
n02361337,183, marmot,,,,,,,
n02363005,195, beaver,,,,,,,
n02364673,101, guinea pig, Cavia cobaya,,,,,,
n02389026,39, sorrel,,,,,,,
n02391049,80, zebra,,,,,,,
n02395406,147, hog, pig, grunter, squealer, Sus scrofa,,,
n02396427,78, wild boar, boar, Sus scrofa,,,,,
n02397096,120, warthog,,,,,,,
n02398521,167, hippopotamus, hippo, river horse, Hippopotamus amphibius,,,,
n02403003,108, ox,,,,,,,
n02408429,162, water buffalo, water ox, Asiatic buffalo, Bubalus bubalis,,,,
n02410509,165, bison,,,,,,,
n02412080,81, ram, tup,,,,,,
n02415577,52, bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis,,
n02417914,9, ibex, Capra ibex,,,,,,
n02422106,65, hartebeest,,,,,,,
n02422699,57, impala, Aepyceros melampus,,,,,,
n02423022,12, gazelle,,,,,,,
n02437312,121, Arabian camel, dromedary, Camelus dromedarius,,,,,
n02437616,186, llama,,,,,,,
n02441942,48, weasel,,,,,,,
n02442845,23, mink,,,,,,,
n02443114,182, polecat, fitch, foulmart, foumart, Mustela putorius,,,
n02443484,40, black-footed ferret, ferret, Mustela nigripes,,,,,
n02444819,212, otter,,,,,,,
n02445715,44, skunk, polecat, wood pussy,,,,,
n02447366,16, badger,,,,,,,
n02454379,178, armadillo,,,,,,,
n02457408,38, three-toed sloth, ai, Bradypus tridactylus,,,,,
n02480495,83, orangutan, orang, orangutang, Pongo pygmaeus,,,,
n02480855,104, gorilla, Gorilla gorilla,,,,,,
n02481823,96, chimpanzee, chimp, Pan troglodytes,,,,,
n02483362,185, gibbon, Hylobates lar,,,,,,
n02483708,122, siamang, Hylobates syndactylus, Symphalangus syndactylus,,,,,
n02484975,73, guenon, guenon monkey,,,,,,
n02486261,135, patas, hussar monkey, Erythrocebus patas,,,,,
n02486410,137, baboon,,,,,,,
n02487347,138, macaque,,,,,,,
n02488291,203, langur,,,,,,,
n02488702,54, colobus, colobus monkey,,,,,,
n02489166,100, proboscis monkey, Nasalis larvatus,,,,,,
n02490219,175, marmoset,,,,,,,
n02492035,142, capuchin, ringtail, Cebus capucinus,,,,,
n02492660,166, howler monkey, howler,,,,,,
n02493509,37, titi, titi monkey,,,,,,
n02493793,111, spider monkey, Ateles geoffroyi,,,,,,
n02494079,92, squirrel monkey, Saimiri sciureus,,,,,,
n02497673,199, Madagascar cat, ring-tailed lemur, Lemur catta,,,,,
n02500267,75, indri, indris, Indri indri, Indri brevicaudatus,,,,
n02504013,194, Indian elephant, Elephas maximus,,,,,,
n02504458,24, African elephant, Loxodonta africana,,,,,,
n02509815,7, lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens,,
n02510455,169, giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca,,,
n02514041,447, barracouta, snoek,,,,,,
n02526121,451, eel,,,,,,,
n02536864,448, coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch,,
n02606052,452, rock beauty, Holocanthus tricolor,,,,,,
n02607072,453, anemone fish,,,,,,,
n02640242,456, sturgeon,,,,,,,
n02641379,457, gar, garfish, garpike, billfish, Lepisosteus osseus,,,
n02643566,454, lionfish,,,,,,,
n02655020,455, puffer, pufferfish, blowfish, globefish,,,,
n02666196,547, abacus,,,,,,,
n02667093,853, abaya,,,,,,,
n02669723,896, academic gown, academic robe, judges robe,,,,,
n02672831,223, accordion, piano accordion, squeeze box,,,,,
n02676566,345, acoustic guitar,,,,,,,
n02687172,246, aircraft carrier, carrier, flattop, attack aircraft carrier,,,,
n02690373,230, airliner,,,,,,,
n02692877,232, airship, dirigible,,,,,,
n02699494,677, altar,,,,,,,
n02701002,265, ambulance,,,,,,,
n02704792,264, amphibian, amphibious vehicle,,,,,,
n02708093,522, analog clock,,,,,,,
n02727426,688, apiary, bee house,,,,,,
n02730930,845, apron,,,,,,,
n02747177,752, ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin
n02749479,540, assault rifle, assault gun,,,,,,
n02769748,847, backpack, back pack, knapsack, packsack, rucksack, haversack,,
n02776631,704, bakery, bakeshop, bakehouse,,,,,
n02777292,767, balance beam, beam,,,,,,
n02782093,233, balloon,,,,,,,
n02783161,907, ballpoint, ballpoint pen, ballpen, Biro,,,,
n02786058,967, Band Aid,,,,,,,
n02787622,341, banjo,,,,,,,
n02788148,718, bannister, banister, balustrade, balusters, handrail,,,
n02790996,916, barbell,,,,,,,
n02791124,307, barber chair,,,,,,,
n02791270,705, barbershop,,,,,,,
n02793495,683, barn,,,,,,,
n02794156,518, barometer,,,,,,,
n02795169,905, barrel, cask,,,,,,
n02797295,258, barrow, garden cart, lawn cart, wheelbarrow,,,,
n02799071,807, baseball,,,,,,,
n02802426,908, basketball,,,,,,,
n02804414,296, bassinet,,,,,,,
n02804610,353, bassoon,,,,,,,
n02807133,785, bathing cap, swimming cap,,,,,,
n02808304,909, bath towel,,,,,,,
n02808440,884, bathtub, bathing tub, bath, tub,,,,
n02814533,266, beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon,
n02814860,733, beacon, lighthouse, beacon light, pharos,,,,
n02815834,991, beaker,,,,,,,
n02817516,849, bearskin, busby, shako,,,,,
n02823428,777, beer bottle,,,,,,,
n02823750,811, beer glass,,,,,,,
n02825657,933, bell cote, bell cot,,,,,,
n02834397,941, bib,,,,,,,
n02835271,254, bicycle-built-for-two, tandem bicycle, tandem,,,,,
n02837789,985, bikini, two-piece,,,,,,
n02840245,835, binder, ring-binder,,,,,,
n02841315,533, binoculars, field glasses, opera glasses,,,,,
n02843684,839, birdhouse,,,,,,,
n02859443,689, boathouse,,,,,,,
n02860847,252, bobsled, bobsleigh, bob,,,,,
n02865351,940, bolo tie, bolo, bola tie, bola,,,,
n02869837,805, bonnet, poke bonnet,,,,,,
n02870880,300, bookcase,,,,,,,
n02871525,706, bookshop, bookstore, bookstall,,,,,
n02877765,779, bottlecap,,,,,,,
n02879718,538, bow,,,,,,,
